epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,8824.19,0.69155,0.47828,1.26842,0.83087,0.84031,0.89857,0.564,1.35273,0.73418,1.56971,0.0008252,0.0008252,0.0008252
91,8918.5,0.69573,0.47822,1.27416,0.87787,0.87281,0.89233,0.55952,1.3605,0.73036,1.62343,0.000812,0.000812,0.000812
92,9019.02,0.69361,0.47847,1.27916,0.87065,0.82895,0.88742,0.56766,1.32747,0.73166,1.55608,0.0007988,0.0007988,0.0007988
93,9121.35,0.69554,0.47996,1.2774,0.88297,0.86404,0.90626,0.56065,1.35255,0.77538,1.62347,0.0007856,0.0007856,0.0007856
94,9215.52,0.68342,0.46547,1.26165,0.82963,0.79023,0.85558,0.54789,1.34391,0.80353,1.54236,0.0007724,0.0007724,0.0007724
95,9313.87,0.67685,0.46861,1.26234,0.82752,0.82068,0.86879,0.55575,1.34461,0.76624,1.56,0.0007592,0.0007592,0.0007592
96,9416.26,0.67433,0.46264,1.2675,0.83746,0.85872,0.87574,0.5706,1.32871,0.75132,1.56603,0.000746,0.000746,0.000746
97,9515.81,0.67586,0.47224,1.25092,0.86908,0.87348,0.87015,0.54872,1.32724,0.77427,1.60201,0.0007328,0.0007328,0.0007328
98,9609.22,0.66998,0.45985,1.24755,0.85552,0.84211,0.88495,0.5657,1.32264,0.75843,1.57577,0.0007196,0.0007196,0.0007196
99,9706.77,0.67716,0.46482,1.25708,0.84538,0.86404,0.87389,0.56221,1.30697,0.76842,1.51978,0.0007064,0.0007064,0.0007064
100,9806.54,0.66156,0.44756,1.24875,0.80649,0.85965,0.86101,0.55314,1.3195,0.78082,1.52966,0.0006932,0.0006932,0.0006932
101,9897.78,0.66321,0.45743,1.24216,0.83345,0.85965,0.86325,0.55149,1.35653,0.75399,1.60032,0.00068,0.00068,0.00068
102,9996.38,0.6685,0.46739,1.24676,0.88453,0.85526,0.8829,0.5816,1.28962,0.73731,1.49515,0.0006668,0.0006668,0.0006668
103,10091.7,0.66115,0.44862,1.24152,0.78556,0.82895,0.84222,0.55729,1.32042,0.78838,1.51144,0.0006536,0.0006536,0.0006536
104,10193.7,0.65656,0.45387,1.23488,0.79472,0.86597,0.86639,0.56693,1.30544,0.75959,1.54751,0.0006404,0.0006404,0.0006404
105,10285.5,0.66708,0.4524,1.23621,0.85574,0.82018,0.87463,0.56907,1.35311,0.74643,1.60762,0.0006272,0.0006272,0.0006272
106,10387.7,0.6462,0.43832,1.22463,0.8347,0.81947,0.8788,0.56859,1.31334,0.76043,1.49603,0.000614,0.000614,0.000614
107,10488.3,0.64078,0.43496,1.22784,0.80606,0.8932,0.88558,0.57956,1.27273,0.71429,1.49693,0.0006008,0.0006008,0.0006008
108,10582.5,0.66715,0.44376,1.22827,0.88814,0.85088,0.87811,0.5772,1.28889,0.74393,1.52036,0.0005876,0.0005876,0.0005876
109,10681.8,0.64731,0.42778,1.21124,0.77653,0.88596,0.88332,0.57561,1.30036,0.77001,1.51479,0.0005744,0.0005744,0.0005744
110,10781,0.64153,0.42932,1.21018,0.87419,0.8114,0.88066,0.58207,1.30584,0.74402,1.51331,0.0005612,0.0005612,0.0005612
111,10878.6,0.62447,0.42727,1.20725,0.86827,0.85526,0.8962,0.57728,1.3233,0.73634,1.53503,0.000548,0.000548,0.000548
112,10963.5,0.62847,0.4251,1.22168,0.8649,0.84236,0.88005,0.57117,1.29335,0.73373,1.50522,0.0005348,0.0005348,0.0005348
113,11058.8,0.62752,0.41903,1.20874,0.85743,0.82018,0.86419,0.56976,1.29657,0.75371,1.53052,0.0005216,0.0005216,0.0005216
114,11159,0.63666,0.42447,1.20451,0.85281,0.80263,0.86793,0.56385,1.29473,0.75131,1.50505,0.0005084,0.0005084,0.0005084
115,11252.7,0.61578,0.41291,1.20054,0.85364,0.81579,0.8804,0.56852,1.3016,0.72883,1.52871,0.0004952,0.0004952,0.0004952
116,11354,0.62707,0.41857,1.20194,0.89515,0.86121,0.8945,0.5935,1.26328,0.76572,1.45158,0.000482,0.000482,0.000482
117,11456.1,0.61806,0.41838,1.20399,0.8497,0.86842,0.89049,0.58709,1.3215,0.72927,1.58053,0.0004688,0.0004688,0.0004688
118,11553.5,0.62798,0.41415,1.20076,0.86226,0.8114,0.88668,0.5931,1.2884,0.74905,1.50138,0.0004556,0.0004556,0.0004556
119,11654,0.61882,0.40784,1.19737,0.86946,0.84211,0.88954,0.58949,1.31039,0.71895,1.56531,0.0004424,0.0004424,0.0004424
120,11756.7,0.60717,0.42059,1.18668,0.84292,0.88158,0.88914,0.59212,1.28645,0.74516,1.48806,0.0004292,0.0004292,0.0004292
121,11864.4,0.62755,0.41922,1.20609,0.86487,0.81579,0.87394,0.57975,1.30343,0.74123,1.51021,0.000416,0.000416,0.000416
122,11963.7,0.60791,0.40293,1.1956,0.84703,0.84649,0.872,0.58147,1.30687,0.74617,1.55244,0.0004028,0.0004028,0.0004028
123,12056.8,0.60809,0.40787,1.17723,0.84867,0.86086,0.87284,0.58466,1.33316,0.79734,1.57364,0.0003896,0.0003896,0.0003896
124,12159.6,0.60881,0.40212,1.19259,0.79184,0.88428,0.87352,0.57671,1.28792,0.75716,1.53685,0.0003764,0.0003764,0.0003764
125,12267.1,0.61267,0.40682,1.19108,0.84004,0.85526,0.86903,0.5809,1.29131,0.75199,1.53976,0.0003632,0.0003632,0.0003632
126,12374.5,0.59493,0.39455,1.17772,0.85379,0.84516,0.8773,0.58552,1.28268,0.75728,1.50816,0.00035,0.00035,0.00035
127,12476.6,0.61465,0.40304,1.18292,0.8679,0.83568,0.87266,0.5833,1.29248,0.76444,1.52861,0.0003368,0.0003368,0.0003368
128,12567.4,0.5971,0.38796,1.16941,0.85065,0.84938,0.88269,0.58492,1.29665,0.70576,1.54071,0.0003236,0.0003236,0.0003236
129,12664.3,0.59995,0.39881,1.1794,0.84181,0.88691,0.88506,0.59271,1.30226,0.70946,1.53819,0.0003104,0.0003104,0.0003104
130,12762.9,0.60541,0.40039,1.17933,0.82808,0.87281,0.87498,0.58597,1.29332,0.74508,1.52272,0.0002972,0.0002972,0.0002972
131,12860.4,0.59457,0.38962,1.17061,0.86617,0.84649,0.88466,0.58502,1.30098,0.74698,1.51947,0.000284,0.000284,0.000284
132,12955.5,0.59477,0.39912,1.16342,0.86138,0.85526,0.8853,0.58479,1.27585,0.75105,1.50402,0.0002708,0.0002708,0.0002708
133,13055.2,0.58595,0.39169,1.16943,0.81828,0.869,0.87923,0.58276,1.28341,0.73063,1.57775,0.0002576,0.0002576,0.0002576
134,13156.1,0.57666,0.37983,1.15243,0.83321,0.83333,0.87049,0.58291,1.26259,0.73108,1.4941,0.0002444,0.0002444,0.0002444
135,13247.6,0.58519,0.39074,1.15837,0.83766,0.8114,0.8749,0.58433,1.2762,0.74852,1.47326,0.0002312,0.0002312,0.0002312
136,13344.7,0.57425,0.38276,1.16756,0.88328,0.82456,0.88541,0.59168,1.28213,0.73916,1.49228,0.000218,0.000218,0.000218
137,13444.1,0.57838,0.37643,1.16488,0.85606,0.82456,0.88324,0.60068,1.25978,0.7394,1.46962,0.0002048,0.0002048,0.0002048
138,13544.3,0.57205,0.37678,1.15783,0.86677,0.84649,0.88439,0.59732,1.281,0.73362,1.53326,0.0001916,0.0001916,0.0001916
139,13637.3,0.58529,0.38809,1.15709,0.80956,0.87281,0.88928,0.58669,1.28472,0.73935,1.54904,0.0001784,0.0001784,0.0001784
140,13734.7,0.56774,0.37902,1.15083,0.87572,0.83444,0.89976,0.58919,1.26993,0.71208,1.52446,0.0001652,0.0001652,0.0001652
141,13835.7,0.86046,0.37874,0.88285,0.85244,0.86148,0.88498,0.57937,1.27784,0.73173,1.58675,0.000152,0.000152,0.000152
142,13926.2,0.85433,0.36319,0.84742,0.85785,0.82054,0.8794,0.56885,1.30931,0.72837,1.65043,0.0001388,0.0001388,0.0001388
143,14022.6,0.83073,0.34477,0.83402,0.84652,0.83333,0.86587,0.5637,1.28795,0.71388,1.61405,0.0001256,0.0001256,0.0001256
144,14118.7,0.83367,0.34404,0.83115,0.83987,0.83772,0.87261,0.57529,1.27206,0.70779,1.59383,0.0001124,0.0001124,0.0001124
145,14215,0.84089,0.34583,0.83123,0.81357,0.86133,0.8675,0.57614,1.28152,0.72249,1.59718,9.92e-05,9.92e-05,9.92e-05
146,14294.9,0.82865,0.33776,0.82463,0.84906,0.83882,0.87713,0.58216,1.29036,0.72665,1.61254,8.6e-05,8.6e-05,8.6e-05
147,14390,0.82033,0.3346,0.82409,0.85446,0.82456,0.88149,0.58044,1.28687,0.70916,1.61133,7.28e-05,7.28e-05,7.28e-05
148,14488.8,0.83938,0.33674,0.81696,0.8635,0.82895,0.87879,0.58366,1.28696,0.71572,1.58389,5.96e-05,5.96e-05,5.96e-05
149,14581,0.83099,0.33786,0.81604,0.84806,0.83231,0.87934,0.58111,1.28097,0.72503,1.58859,4.64e-05,4.64e-05,4.64e-05
150,14673.9,0.81637,0.33046,0.81152,0.83284,0.85222,0.881,0.58432,1.28019,0.71714,1.59914,3.32e-05,3.32e-05,3.32e-05
